Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-08-02,QSI,9.0,1.48,0.9,1.49,13.41,-0.18,HOLD,,
2025-08-02,FDMT,3.0,6.39,5.0,6.05,18.15,0.09,HOLD,,
2025-08-02,ALT,3.0,3.68,2.5,3.66,10.98,-0.21,HOLD,,
2025-08-02,GLUE,3.0,4.79,3.5,4.82,14.46,0.0,HOLD,,
2025-08-02,TXMD,6.0,1.11,0.8,1.11,6.66,0.0,HOLD,,
2025-08-02,TOTAL,,,,,64.26,-0.3,,100.0,164.26
2025-08-04,QSI,9,1.48,0.9,1.44,12.96,-0.36,HOLD,,
2025-08-04,FDMT,3,6.39,5.0,5.24,15.72,-3.45,HOLD,,
2025-08-04,ALT,3,3.68,2.5,3.58,10.74,-0.3,HOLD,,
2025-08-04,GLUE,6,4.79,4.3,4.88,29.28,0.54,HOLD,,
2025-08-04,TOTAL,,,,,68.7,-3.57,,91.96,160.66
